,cid,text,time,author,channel,votes,photo,heart,reply,time_parsed,polarity
11,Ugxa5UOsTTLu72kXndd4AaABAg.9eCcaFcsahA9hEyK2GuyBT,cryoimpact,9 months ago,@hanjurichter9382,UCXmcr8CosRtA3a3J1qvv8hg,4,https://yt3.ggpht.com/ytc/AOPolaTQ--5xz5_By2bSmrObKz4jZLf7gkFThlGofA=s176-c-k-c0x00ffffff-no-rj,False,True,1667435783.065938,0.0
12,Ugxa5UOsTTLu72kXndd4AaABAg.9eCcaFcsahA9id1VZQWrpQ,pretty awesome Love outdoors bring people together its great chill enjoy,8 months ago,@billl.2441,UCWrf4ocJPMuNGQHcvLD_cOg,7,https://yt3.ggpht.com/ytc/AOPolaRgKu4G4iKyFL306TsEFlZWsHOaLGhkyE4SLE9tsQ=s176-c-k-c0x00ffffff-no-rj,False,True,1670031383.067934,0.59
13,Ugxa5UOsTTLu72kXndd4AaABAg.9eCcaFcsahA9mcI4WGGh7I,that awesome I bring group fisherman 18 year row world great place,5 months ago,@WorldCupofFishing,UCaDNYc6_lYYLiEe7bxlOCKQ,2,https://yt3.ggpht.com/i_nqIyRkc0SAiV6YkLOBHKH_DmGI30horUK8aY3UeCqmM19FFa2EiiQWKgKUcB7IGLjQHs6gCg=s176-c-k-c0x00ffffff-no-rj,False,True,1677807383.069936,0.9
14,Ugxa5UOsTTLu72kXndd4AaABAg.9eCcaFcsahA9owjjWFgf91,cryoimpact why bruh,3 months ago,@pipthewarrior3738,UCGJinBCE5PASFmCDtLsOjew,0,https://yt3.ggpht.com/t7MYgWQ5oe0LDyCZTAs6WHW3KOXfyzGPMcuZBlo071yUmt_qACPawySRCX7w2FIgdVjL6sxuVg=s176-c-k-c0x00ffffff-no-rj,False,True,1683074183.072044,0.0
15,Ugxa5UOsTTLu72kXndd4AaABAg.9eCcaFcsahA9ruj8RmTCTj,pipthewarrior3738 probably something like bruh you re lucky I wish I bruh kinda thing,3 weeks ago,@gahb4326,UCrOPBLvjiypZThgRdytdT7Q,2,https://yt3.ggpht.com/ytc/AOPolaQHFfOLBX6AT5SM34kZj5mTxOw2YJohf-Eko918=s176-c-k-c0x00ffffff-no-rj,False,True,1689208583.073039,0.3333333333333333
16,Ugxa5UOsTTLu72kXndd4AaABAg.9eCcaFcsahA9rz42Knpr9s,gahb4326 bruh,3 weeks ago,@lucastardjopawiro3698,UCIO35mqkZn--lh9LiBHZ72A,0,https://yt3.ggpht.com/ytc/AOPolaTACd_LURchedRxzGD4AjMh4jCXk7p1clmixBvHrQ=s176-c-k-c0x00ffffff-no-rj,False,True,1689208583.075035,0.0
17,UgyjNgiJY9zPI_RDqPt4AaABAg.9fwKS6tZ_Ta9m4nE0ur3Rj,boober doog ard,5 months ago,@hachater8698,UCtApUWzao-vNSH8oK_gn_Zw,5,https://yt3.ggpht.com/YKp0ipFxBdqmzTbvvHVhZ7FKO6Cjn41jIdssXBjPhr8UgFYg7zsGan3OKque4vkloIGFIk7yhw=s176-c-k-c0x00ffffff-no-rj,False,True,1677807383.289137,0.0
18,UgyjNgiJY9zPI_RDqPt4AaABAg.9fwKS6tZ_Ta9m4t7p-E-cm,it look wewd actually,5 months ago,@ElderlyFacePunch,UC_9FSa5Fox71CIH5T9CCI0g,1,https://yt3.ggpht.com/2YMfSFaw1gvAJoXjH0MPNkPZ6g_3mYIY9jaBTF6ahHX60SL5C9EuC9lNQDyLqTsg2gaIKWNY=s176-c-k-c0x00ffffff-no-rj,False,True,1677807383.291137,0.0
19,UgyjNgiJY9zPI_RDqPt4AaABAg.9fwKS6tZ_Ta9nA6K9ROoNd,yad,4 months ago,@adamylawson6189,UCUW06XtiOiRAcMExqxX0h_w,1,https://yt3.ggpht.com/ytc/AOPolaRNtctQyVOV-Gh8IyZXWYI0JBixpgSzLs2-DUhPVMiYmsl9xXBwR7OShkO_UNB9=s176-c-k-c0x00ffffff-no-rj,False,True,1680482183.294136,0.0
20,UgyjNgiJY9zPI_RDqPt4AaABAg.9fwKS6tZ_Ta9nf1NYsAXMZ,I watch vid time,4 months ago,@thatoneguy3029,UCYsweG8b18v4hIWrsoEgVxw,1,https://yt3.ggpht.com/HpKGbZneO--f3eQ6GF-mAL9wRJwYUFhkM3QitxTiAJHFpqI8gUIFT83hw4TfQD11LIxoxnGtgg=s176-c-k-c0x00ffffff-no-rj,False,True,1680482183.296135,0.0
21,UgwURBz0y3tZlru-ns54AaABAg.9fqFz_QdREu9hFpiHaaUbA,rest peace father I hope video continue bring level immense joy,9 months ago,@DesignedByKy,UC6tdAc_NBvJiNAvtAVPlkLQ,43,https://yt3.ggpht.com/xxH_gmtmpgomyZjha0r3NhHXkA6_AT7yAHYuc84L3-jceSTH5-a-gMRoWxEIo7cKSyaTPes4hM0=s176-c-k-c0x00ffffff-no-rj,False,True,1667435783.533526,0.4
22,UgwURBz0y3tZlru-ns54AaABAg.9fqFz_QdREu9ixRFXAB6rJ,my condolence loss its nice share really wholesome enjoyable video,8 months ago,@keshhan6412,UCe7zvxKq38cwGA2xPgzJIhQ,7,https://yt3.ggpht.com/ytc/AOPolaS6HurcgwSm6NqbOXiVJPsEp2pwKIhM7bp6IDdOeae4rbTqGOWoYNiNQ77QcTe8=s176-c-k-c0x00ffffff-no-rj,False,True,1670031383.534529,0.43333333333333335
23,UgwURBz0y3tZlru-ns54AaABAg.9fqFz_QdREu9j3JwcvvIH4,ahmedak798,8 months ago,@GoofyGuber,UCz_oVYeepvB6bMASOB1Jvsg,2,https://yt3.ggpht.com/6veFBJMkZflnYfUKcGNh2UAxx9az4bZx1fL5VjsiYob0LwSp0SO724boA1pTYotfXO6no7n5Ug=s176-c-k-c0x00ffffff-no-rj,False,True,1670031383.535527,0.0
24,UgwURBz0y3tZlru-ns54AaABAg.9fqFz_QdREu9j86e69QAaL,anytime hear fish jump think rest peace,8 months ago,@smackyobassfishing7737,UCeTH0cSDt-Q3V_7vausub7A,4,https://yt3.ggpht.com/uDgOwKGt6S4c7p-9dE9A0IdfT_LEk6JzLvt1HuM6GlGxID6b5Ot_OQ6Ms_GUGUC97dzB-NdDGQ=s176-c-k-c0x00ffffff-no-rj,False,True,1670031383.537529,0.0
25,UgwURBz0y3tZlru-ns54AaABAg.9fqFz_QdREu9j8P_AVjA6o,W DAD W SON,8 months ago,@mohiedin6924,UCp1WuYhi0DpQhlkcdANSA4g,4,https://yt3.ggpht.com/ytc/AOPolaShlkHoRCkxyUICA7LoCcPPEhVbES2sWbwm88hwmw=s176-c-k-c0x00ffffff-no-rj,False,True,1670031383.538527,0.0
26,UgwURBz0y3tZlru-ns54AaABAg.9fqFz_QdREu9jz_Yshqdzo,rip,7 months ago,@yashgupta1633,UCyLqg71uSeYBgoAB0QP4zIQ,2,https://yt3.ggpht.com/ytc/AOPolaTf7f0Umf-DBC1TrOTq_nkYSrkgmRGU4wB7CcDlpA=s176-c-k-c0x00ffffff-no-rj,False,True,1672709783.540527,0.0
27,UgwURBz0y3tZlru-ns54AaABAg.9fqFz_QdREu9lVn6e7ttSP,mohiedin6924 please respectful,6 months ago,@potatobreaker8730,UCYFcs63QDQt9J2qvv1QiG_w,2,https://yt3.ggpht.com/ytc/AOPolaTObV0vRfSNqySbdPzypHG8D50UbB1gyVG6UYwC=s176-c-k-c0x00ffffff-no-rj,False,True,1675388183.541527,0.5
28,UgwURBz0y3tZlru-ns54AaABAg.9fqFz_QdREu9llixzqDcS3,rest peace father man this beautiful read,5 months ago,@JDRodriguez9,UCNnNOkiMFYYxC4Y37YJGcgQ,2,https://yt3.ggpht.com/fFidmmXgMYgEqXqHgLvwgmhHyAUE0aEexM846hW4dAYQToy3VoUMMMuIj2PSGBR7L9QMSG7izg=s176-c-k-c0x00ffffff-no-rj,False,True,1677807383.543527,0.85
29,UgwURBz0y3tZlru-ns54AaABAg.9fqFz_QdREu9lt0If-OeOw,may rest peace,5 months ago,@eyeamjaydee6426,UCLXFrufr5xELwB5eLRSYhcw,2,https://yt3.ggpht.com/ytc/AOPolaRmaya1DxdjY5fmgD6TJJwQhn3tLwJTFB0aSR59=s176-c-k-c0x00ffffff-no-rj,False,True,1677807383.544528,0.0
31,UgwURBz0y3tZlru-ns54AaABAg.9fqFz_QdREu9m2jPIWG7T6,damn bro I m sorry loss,5 months ago,@derwinner_1233,UCVnckXgAP4vlDFKZuiHJXOg,2,https://yt3.ggpht.com/a3BQYmPvzJpIzpgFzXYYB0EqfhTPwz50gOMYjd0XlaAGIrp2MrGbWWpqBQnxX5k1Zvqv3SUr=s176-c-k-c0x00ffffff-no-rj,False,True,1677807383.779645,-0.5
32,UgwURBz0y3tZlru-ns54AaABAg.9fqFz_QdREu9muAZ-yLHQM,rest peace 3,4 months ago,@neon494,UCptaDEDzPaogUqfmIHzab0Q,1,https://yt3.ggpht.com/b1XwSHoCvZ1-cDvVQaJYxJjZT3DyDHZxjOCcClqRMT2ipay4c7okd-6SYDRNr_PjytyaYS9h9g=s176-c-k-c0x00ffffff-no-rj,False,True,1680482183.781606,0.0
33,UgwURBz0y3tZlru-ns54AaABAg.9fqFz_QdREu9num6GiI1wa,rest peace father keep head get well,4 months ago,@jakewolfe3544,UCdkQ86AxJC_l7q16qw3nH_Q,1,https://yt3.ggpht.com/ytc/AOPolaQtlUfdKg7PT0a5GX-02wgMbp40dOKlFxPLxw=s176-c-k-c0x00ffffff-no-rj,False,True,1680482183.78265,0.0
34,UgzfeDop4vnLgabB7Yh4AaABAg.9f4rPm2DrIJ9fdlghBPulw,Det gjer det gjer dette med min morfar og denne ser bedre ut og han har gjort det 30år,10 months ago,@eliaslovius7405,UCAnDoM7sGXpjucI0eJ2pHHw,7,https://yt3.ggpht.com/ytc/AOPolaQz0BJAZVq82N_kaQdpZ1UkQqW9cQvX93sO1H0V=s176-c-k-c0x00ffffff-no-rj,False,True,1664757383.983051,0.0
35,UgzfeDop4vnLgabB7Yh4AaABAg.9f4rPm2DrIJ9jrcZJDy69c,same I wanna one day,7 months ago,@flyleah5633,UCy1eE7lCxNfCngteYXNAlig,3,https://yt3.ggpht.com/CmDTAdfOGBX3CrpTKgeGWFuHKBdYzh_aayUUjtbVpXQOkeIUTIYq65urn5AGZOduOh5OtQ1LQw=s176-c-k-c0x00ffffff-no-rj,False,True,1672709783.986101,0.0
36,UgzfeDop4vnLgabB7Yh4AaABAg.9f4rPm2DrIJ9oA1bgooA3I,wilderness cooking prep next level,3 months ago,@hassyg4083,UCJbE-fXrpudIl7EnjSYmMXg,2,https://yt3.ggpht.com/ytc/AOPolaScC_Lldno1qty2dGdpCszMsmkmy4DYssgHW55K=s176-c-k-c0x00ffffff-no-rj,False,True,1683074183.988047,0.0
37,UgzfeDop4vnLgabB7Yh4AaABAg.9f4rPm2DrIJ9owyOqWoquk,do not get salmon roe,3 months ago,@tonyauriux1011,UCE1OcGHXXFEmVBNchc5-6-w,1,https://yt3.ggpht.com/ytc/AOPolaRc9oJ0pFom9Rr-q2VXi-BGG5l7Hr6mQLcKyOR55Lcxz1Tya7qq2Jc2viiXGmam=s176-c-k-c0x00ffffff-no-rj,False,True,1683074183.989048,0.0
38,Ugx6l6u9_xHZeSB2FEl4AaABAg.9dyH45e6ph49dzEUovNR8-,cedar plank andor Alder smoke live Oregon eat lot salmon lol,1 year ago,@MrAcuta73,UCezbR6RE6q2fSXPzZz6nXZg,5,https://yt3.ggpht.com/ytc/AOPolaRwX4NgTwXyR8ZV0IvNqyszUrdyy-W4FA9ixb8A=s176-c-k-c0x00ffffff-no-rj,False,True,1659486984.228288,0.4681818181818182
39,Ugx6l6u9_xHZeSB2FEl4AaABAg.9dyH45e6ph49e0-Vd6XXfx,Maple Syrup WIN,1 year ago,@aquaviii,UCiqYGt6geBDCqVcSfPE_-mA,7,https://yt3.ggpht.com/gbdeS38bzHNqHLrUI6s8J53H_1CNPyFpQVBqp59L3HXk5TsEOJMU6eB5JaKymsh4mG8tLj77=s176-c-k-c0x00ffffff-no-rj,False,True,1659486984.229291,0.8
40,Ugx6l6u9_xHZeSB2FEl4AaABAg.9dyH45e6ph49ej3XytgSrC,cedar plank epic,11 months ago,@co8539,UC7mLZgm5L1p1oRRVz9vAVoQ,0,https://yt3.ggpht.com/ytc/AOPolaRvfiSfXfIVghETSJykDFILTgFg3pttYKeTRiL_=s176-c-k-c0x00ffffff-no-rj,False,True,1662165384.23243,0.1
41,Ugx6l6u9_xHZeSB2FEl4AaABAg.9dyH45e6ph49eqtpPpDWX7,technically teriyaki salmon,11 months ago,@curlyhairdudeify,UC1bEgWkomANCQsjUyqb719w,0,https://yt3.ggpht.com/ytc/AOPolaQ1g7ZWk_gQ4mhHu7iSBEjxTudcBCfs3h00xDIv=s176-c-k-c0x00ffffff-no-rj,False,True,1662165384.234406,0.0
42,Ugx6l6u9_xHZeSB2FEl4AaABAg.9dyH45e6ph49gaVuJRtyzG,Bachcchanalia if native landhome turf First Nations I believe maple SALMON guy Seas then would terriaki,10 months ago,@evatsosie1600,UCsuw8nyIJVc-BMHzlfAtNpQ,3,https://yt3.ggpht.com/ytc/AOPolaQymrM_olplXWHFUVotxuGKuMYOxA_zPiWA9oyEiBO0Fs1BlCHC4iP6W3XcgWwa=s176-c-k-c0x00ffffff-no-rj,False,True,1664757384.237289,0.25
43,Ugx6l6u9_xHZeSB2FEl4AaABAg.9dyH45e6ph49gh98gPZ01g,definitely cedar plank with whiskey drizzle,10 months ago,@rippvanwinklestein2126,UCERlCHPQ6Wxkw61YsOW8zDQ,1,https://yt3.ggpht.com/ytc/AOPolaTVzElJK1SX0qRyxnw219HjEQRCMegQjUXd59qz-9w_rGdOJ0gUX9pkFWymr9KO=s176-c-k-c0x00ffffff-no-rj,False,True,1664757384.239287,0.0
44,Ugx6l6u9_xHZeSB2FEl4AaABAg.9dyH45e6ph49hpjvq9sRN_,your wife bad reaction lol,9 months ago,@johnnytsunami7883,UCLT-TmytOOrV5Bu_xWH5ipw,1,https://yt3.ggpht.com/LwwN1Pc4aQhDSf6IbhxE2e5HjRu06cs4sYshgKn-pglPWOj3bufkK7QS9xA9Imo2J15ZGVSmbQ=s176-c-k-c0x00ffffff-no-rj,False,True,1667435784.240287,0.0500000000000001
45,Ugx6l6u9_xHZeSB2FEl4AaABAg.9dyH45e6ph49k3RVnr2ogT,that s I think Maple syrup instead sugar no chili flake,7 months ago,@argi0774,UC_0FbV2I2_vwbHTX3KVdwSw,0,https://yt3.ggpht.com/ytc/AOPolaQeN89E8c3x7L-MxBaYquRNwTk5fC6yJhQRXw=s176-c-k-c0x00ffffff-no-rj,False,True,1672709784.242293,0.0
46,Ugx6l6u9_xHZeSB2FEl4AaABAg.9dyH45e6ph49kS7NZVa77e,first time I ever salmon grandpas house my stepgrandmother who mother I hate actually make honey I never salmon life I idea even put front I eat smoky course taste like salmon sweet so I m like say salmon honey glaze it surprisingly good she terrible cook good meal we ve ever first experience eat salmon favorite fish ever since I order every time I go either seafood restaurant steak restaurant I do not eat steak steak place usually seafood but I do not know everyone seem salmon expert guy say be honey good salmon,6 months ago,@truthseeker9249,UC3rIVHWOVX9wgi02vX4bWVw,0,https://yt3.ggpht.com/1sW9MSlH0LyhtJq_4tu725kVMtIuP6v69dagU4zPhxGodzVaWeALni_NpIrnnR-On4BkdH40=s176-c-k-c0x00ffffff-no-rj,False,True,1675388184.244292,0.12727272727272726
47,Ugx6l6u9_xHZeSB2FEl4AaABAg.9dyH45e6ph49lmH6vDUISt,truthseeker9249 thank share jeez,5 months ago,@rodbarron,UCcbOK0SF6U0LBgnbz-t2yKg,0,https://yt3.ggpht.com/ytc/AOPolaSfHLcnt4VvilousnAgeLsbxhvBygNrs25XjanzSNdx0Ni5cDy6hWv7lL7H_CHRLw=s176-c-k-c0x00ffffff-no-rj,False,True,1677807384.247286,0.0
48,Ugx6l6u9_xHZeSB2FEl4AaABAg.9dyH45e6ph49lmHFWlx9a5,thank google,5 months ago,@rodbarron,UCcbOK0SF6U0LBgnbz-t2yKg,0,https://yt3.ggpht.com/ytc/AOPolaSfHLcnt4VvilousnAgeLsbxhvBygNrs25XjanzSNdx0Ni5cDy6hWv7lL7H_CHRLw=s176-c-k-c0x00ffffff-no-rj,False,True,1677807384.438514,0.0
49,Ugx5NPtcSZs3e6FV8kF4AaABAg.9dyNx5y9f0e9e0-QSrkhKK,Taku Master Chef,1 year ago,@aquaviii,UCiqYGt6geBDCqVcSfPE_-mA,1,https://yt3.ggpht.com/gbdeS38bzHNqHLrUI6s8J53H_1CNPyFpQVBqp59L3HXk5TsEOJMU6eB5JaKymsh4mG8tLj77=s176-c-k-c0x00ffffff-no-rj,False,True,1659486984.629301,0.0
50,Ugwz-1BYRBPH7NTsO9J4AaABAg.9e6s2sird4p9lBHfa7j2WD,spot do see video Jocelyn dyie hair blue go beast mode salmon Think charter Ketchikan,6 months ago,@12knots,UCTLE57fDmpX9fctHDjKkjtQ,0,https://yt3.ggpht.com/ytc/AOPolaRs8txDYeE99chSFeFwmKTl9-a7VZ33pW8Lhw=s176-c-k-c0x00ffffff-no-rj,False,True,1675388184.808833,0.0
51,UgwEtTW51p3TC-sgQn54AaABAg.9fLMN6YsRSH9o1ITzVryaG,7 year that s long time catch one fish clean cook even make video edit I would give 7 hour without catch fish,3 months ago,@OllieRidesAk,UCQUq5xR7Ja-VTtTYDvDym3g,1,https://yt3.ggpht.com/YJqhXVEaPxq5KA11sGsg0Mvj3_toAwYErXaTrb5RrUjsFvY_rcLmVYOdUjURXu6JX3tYIpJPkQ=s176-c-k-c0x00ffffff-no-rj,False,True,1683074184.996055,0.15833333333333335
52,UgyH8RPN_VqGGk8RC1V4AaABAg,I can not believe I enjoy someone else catch awesome alaskian fish great job share Jocelyns adventure thank brother,1 year ago,@85rgreen,UCC4iTcoCfiUjTnqZrSVl6yA,5,https://yt3.ggpht.com/ytc/AOPolaRcE8DT7oBxkh5L_k3yt1YekwF0XkDTEKtAwXzC=s176-c-k-c0x00ffffff-no-rj,False,False,1659486985.428193,0.7333333333333334
53,Ugz_94-ZgkA7VkXk2-N4AaABAg,smoked salmon amazing I can not imagine happy people ancient time would able catch big salmon like smoke similar experience way fast food everything else that s perfect pump delicious,7 months ago,@tzimisce1753,UCUHV_0v-47IxixpPGFyigIQ,1,https://yt3.ggpht.com/ytc/AOPolaRrIAjEqp_OnWon9Y0g6CRlrgxItxzNyPlYjENxaw=s176-c-k-c0x00ffffff-no-rj,False,False,1672709785.429194,0.5125
54,UgzNDhXGnj_Pq-wsECZ4AaABAg,OMG you mouth water especially 2124 min take first bite your facial expression body language say stay safe much love,1 year ago,@mapuanakupuna3471,UC4frLb6AdXw61V7xN0WpEjw,5,https://yt3.ggpht.com/ytc/AOPolaRtYlJ3S-ygmdvVNLBq5F0Mr38BlA43EhFHVlMo=s176-c-k-c0x00ffffff-no-rj,False,False,1659486985.431103,0.25
55,Ugzta9NVu72ADTkVzEd4AaABAg,I love vid Taku WOW I m love smash video my heart full mouth water King Salmon Bravo wife thank allow we along beautiful journey mate I love guy,1 year ago,@clintjg8,UCEji9fUIScBZBLXMyK2RyNA,0,https://yt3.ggpht.com/ytc/AOPolaTSLXElOR5CsT3Lr6mpz07ReNIaDgInHbrltW5t8w=s176-c-k-c0x00ffffff-no-rj,False,False,1659486985.4321,0.46666666666666673
56,UgzHfUYIE2pWatWlWCx4AaABAg,nothing beat cook outside and look yum keep great vid,5 months ago,@Toxicmindset,UC7YACeDIYR4BXQ3I0CMV4Rg,0,https://yt3.ggpht.com/pmwvqJ3xiKOFPqoq4Mi218x0PBdoSCm1wwLl4gRSOA9eohxH_y1dwfgO38cIMSkGA7hTBDIS7A=s176-c-k-c0x00ffffff-no-rj,False,False,1677807385.433193,0.4
57,UgzJYoxRGXVUiVZvm9t4AaABAg,I go first hiking trip West Coast Trail last summer Kinda crazy first time hike much less multi day hike Anyway one memorable moment take bus start trail some park ranger reserve bring bunch fresh catch salmon wait cook like it delish last good meal day haha,6 months ago,@SuperCharcoalangel,UC3oFDBVAfED8tXiJ9ZToo9A,0,https://yt3.ggpht.com/wavYz-cT-5xNVKhHlotHaZx7GJNJjyfg-oyPhWjc2ctDFOnV87OhkxROQkGPLt4HRUhPA3AL=s176-c-k-c0x00ffffff-no-rj,False,False,1675388185.435195,0.14333333333333334
58,Ugys9GkVc37V06-ElSx4AaABAg,that salmon look fabulous I ve smoke salmon year learn vacation Canada every year Hawaii where salmon be not find the salmon could get store farmraise atlantic salmon I could find fresh Copper River Sockeye fillet always buy special treat Most people Hawaii never try smoke salmon fresh smoker I use wetbrine kosher salt sugar Hot smoke next day barely do dry the Hawaiians go nuts I pretty big smoker would whole turkey Marlin stick popular snack we fisherman some people want pay make smoke salmon I would not take money buy salmon I d rest Plenty room smoker fire go let make party have lots fun fishing smoking fish Hawaii just recently move Washington have not catch salmon yet they run river right pass barge I work I see everywhere fall run anyway first I ve see channel great channel just subscribe Aloha Washington happy fishing cooking,7 months ago,@seancallahan9026,UCJjCJ_RfZvWhixY5Eo0BzwQ,5,https://yt3.ggpht.com/3p-_baV3phwh4s1tak7OD9d0rtbB_eFv_awXpidkx52HsO-SjtbC7fehgxOD5TLklAkG9OndZQ=s176-c-k-c0x00ffffff-no-rj,False,False,1672709785.436193,0.307010582010582
59,UgwSwzqErthbfh5ymkR4AaABAg,that catch I wish I could every day live enjoy video thoroughly,5 months ago,@arthurwong9017,UC458hCQtoxPRi_4D5GbFYBQ,0,https://yt3.ggpht.com/ytc/AOPolaQzAiJO0hMCt2cwaK3DUITAwutnlArVOoAt_T42lQ=s176-c-k-c0x00ffffff-no-rj,False,False,1677807385.438194,0.2681818181818182
60,UgwKf4MTL2ReYY786g14AaABAg,Awesome the fish colour still freshyou tell tight skein egg great fish look delicious maybe try air dry next one attempt smoke air dry allow pellicle form that s suck smoke nonetheless tasty look bbq salmon,7 months ago (edited),@paula.2422,UC4OXSbABfcVtyFeCl0GVxPw,1,https://yt3.ggpht.com/ytc/AOPolaQ0nrz2nBvmIjmUJyPvuk7P5g8wVDfG0O1fMQ=s176-c-k-c0x00ffffff-no-rj,False,False,1672709785.439206,0.3554421768707483
61,Ugw3doLa0gsA80pelLx4AaABAg,that Smoked King Salmon Whiskey Honey Glaze look really good that Salmon Guitar pretty sweet well thank share Alaska journey we Greetings San Bruno,1 year ago,@AHG1347,UCUqTZnG6r2GdDvPIQN_anhQ,34,https://yt3.ggpht.com/i4BNLbZzyVk-Q2LVkqiokdbjb-Vi9nCvE_JCZkKcq6-OFHwapzUgvLqLthJM-hNTVqGTw23j=s176-c-k-c0x00ffffff-no-rj,False,False,1659486985.440197,0.4333333333333333
62,UgwHkf8Vmh9nqugGuml4AaABAg,amazing recipe I m really glad enjoy Alaska trip,1 year ago (edited),@TheBlackops1080p,UCd6Jfwa9uLBbdIk6CvgRePw,1,https://yt3.ggpht.com/ytc/AOPolaTgOhuxJ3TJSvts4q4NRQCbp8RmBv2geAJDyivxXg=s176-c-k-c0x00ffffff-no-rj,False,False,1659486985.4412,0.5
